prefecture	species	specimen_type	drug1	drug2	SS	II	RR	XX_others	SR	RS	XY_others	within_drug1group_diff	within_drug2group_diff	within_drug1group_and_drug2group_diff
32	E. coli	blood	1401	1411	318	0	0	2	0	1	0	0	0	0
32	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
12	K. pneumoniae	respiratory	1401	1411	2129	0	1	67	2	2	8	0	0	0
12	K. pneumoniae	urine	1401	1411	1185	0	1	52	2	1	6	0	0	0
12	K. pneumoniae	stool	1401	1411	362	0	3	52	0	1	2	0	0	0
12	K. pneumoniae	blood	1401	1411	479	0	0	11	0	1	1	0	0	0
12	K. pneumoniae	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
3	K. pneumoniae	respiratory	1401	1411	604	0	2	0	0	0	2	0	0	0
3	K. pneumoniae	urine	1401	1411	319	1	1	0	0	0	1	0	0	0
3	K. pneumoniae	stool	1401	1411	95	0	0	0	0	0	1	0	0	0
3	K. pneumoniae	blood	1401	1411	121	0	0	0	0	0	0	0	0	0
3	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
16	K. pneumoniae	respiratory	1401	1411	994	0	1	0	0	0	4	0	0	0
16	K. pneumoniae	urine	1401	1411	282	0	0	0	1	0	1	0	0	0
16	K. pneumoniae	stool	1401	1411	2	0	0	0	0	0	0	0	0	0
16	K. pneumoniae	blood	1401	1411	77	0	0	0	0	0	0	0	0	0
16	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
24	K. pneumoniae	respiratory	1401	1411	792	1	1	20	0	2	23	0	0	0
24	K. pneumoniae	urine	1401	1411	337	3	0	35	0	0	4	0	0	0
24	K. pneumoniae	stool	1401	1411	277	0	1	0	0	1	1	0	0	0
24	K. pneumoniae	blood	1401	1411	88	0	0	7	0	0	0	0	0	0
24	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
2	K. pneumoniae	respiratory	1401	1411	770	0	0	10	0	0	0	0	0	0
2	K. pneumoniae	urine	1401	1411	408	0	0	4	0	0	2	0	0	0
2	K. pneumoniae	stool	1401	1411	6	0	0	0	0	0	0	0	0	0
2	K. pneumoniae	blood	1401	1411	86	0	0	2	0	0	0	0	0	0
2	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
45	K. pneumoniae	respiratory	1401	1411	449	0	0	0	0	0	1	0	0	0
45	K. pneumoniae	urine	1401	1411	149	0	0	0	0	0	2	0	0	0
45	K. pneumoniae	stool	1401	1411	14	0	0	0	0	0	0	0	0	0
45	K. pneumoniae	blood	1401	1411	60	0	0	0	0	1	0	0	0	0
45	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
8	K. pneumoniae	respiratory	1401	1411	589	0	6	0	1	1	1	0	0	0
8	K. pneumoniae	urine	1401	1411	268	0	1	0	0	0	2	0	0	0
8	K. pneumoniae	stool	1401	1411	40	0	0	0	0	0	0	0	0	0
8	K. pneumoniae	blood	1401	1411	83	0	0	0	1	0	1	0	0	0
8	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
14	K. pneumoniae	respiratory	1401	1411	934	0	0	15	0	0	2	0	0	0
14	K. pneumoniae	urine	1401	1411	447	0	0	1	0	0	4	0	0	0
14	K. pneumoniae	stool	1401	1411	51	0	0	0	0	0	0	0	0	0
14	K. pneumoniae	blood	1401	1411	172	0	0	2	0	0	0	0	0	0
14	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
39	K. pneumoniae	respiratory	1401	1411	576	0	0	0	1	0	1	0	0	0
39	K. pneumoniae	urine	1401	1411	302	0	0	0	0	0	3	0	0	0
39	K. pneumoniae	stool	1401	1411	60	0	0	0	0	0	0	0	0	0
39	K. pneumoniae	blood	1401	1411	103	0	0	0	0	0	1	0	0	0
39	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
10	K. pneumoniae	respiratory	1401	1411	1283	0	0	0	0	2	1	0	0	0
10	K. pneumoniae	urine	1401	1411	350	0	0	0	0	0	2	0	0	0
10	K. pneumoniae	stool	1401	1411	65	0	0	0	0	0	0	0	0	0
10	K. pneumoniae	blood	1401	1411	122	0	0	0	0	0	0	0	0	0
10	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
35	K. pneumoniae	respiratory	1401	1411	1487	0	3	6	1	0	4	0	0	0
35	K. pneumoniae	urine	1401	1411	698	0	7	5	0	1	2	0	0	0
35	K. pneumoniae	stool	1401	1411	90	0	2	0	1	0	0	0	0	0
35	K. pneumoniae	blood	1401	1411	280	0	0	1	0	0	1	0	0	0
35	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	1	0	0	0
4	K. pneumoniae	respiratory	1401	1411	1482	0	2	0	1	0	3	0	0	0
4	K. pneumoniae	urine	1401	1411	907	0	6	1	0	0	4	0	0	0
4	K. pneumoniae	stool	1401	1411	62	1	0	0	0	0	1	0	0	0
4	K. pneumoniae	blood	1401	1411	314	0	1	1	0	0	0	0	0	0
4	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
41	K. pneumoniae	respiratory	1401	1411	6402	0	6	0	3	0	21	0	0	0
41	K. pneumoniae	urine	1401	1411	3374	1	22	0	5	3	8	0	0	0
41	K. pneumoniae	stool	1401	1411	975	2	15	0	20	1	36	0	0	0
41	K. pneumoniae	blood	1401	1411	1177	0	2	0	0	0	1	0	0	0
41	K. pneumoniae	spinal	1401	1411	6	0	0	0	0	0	0	0	0	0
19	K. pneumoniae	respiratory	1401	1411	3728	0	5	0	1	1	4	0	0	0
19	K. pneumoniae	urine	1401	1411	1755	0	1	0	1	2	7	0	0	0
19	K. pneumoniae	stool	1401	1411	263	2	6	0	0	0	10	0	0	0
19	K. pneumoniae	blood	1401	1411	645	0	0	0	0	0	4	0	0	0
19	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
29	K. pneumoniae	respiratory	1401	1411	937	0	1	0	0	0	2	0	0	0
29	K. pneumoniae	urine	1401	1411	491	0	0	0	0	0	4	0	0	0
29	K. pneumoniae	stool	1401	1411	54	0	0	0	0	0	0	0	0	0
29	K. pneumoniae	blood	1401	1411	194	0	0	0	0	0	0	0	0	0
29	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
43	K. pneumoniae	respiratory	1401	1411	404	0	0	0	0	0	5	0	0	0
43	K. pneumoniae	urine	1401	1411	202	0	0	0	0	0	2	0	0	0
43	K. pneumoniae	stool	1401	1411	1	0	0	0	0	0	0	0	0	0
43	K. pneumoniae	blood	1401	1411	100	0	0	0	0	0	0	0	0	0
43	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
15	K. pneumoniae	respiratory	1401	1411	675	0	1	0	4	1	30	0	0	0
15	K. pneumoniae	urine	1401	1411	423	0	0	0	2	0	34	0	0	0
15	K. pneumoniae	stool	1401	1411	38	0	1	0	3	0	1	0	0	0
15	K. pneumoniae	blood	1401	1411	144	0	0	0	0	0	5	0	0	0
15	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
6	K. pneumoniae	respiratory	1401	1411	316	0	0	0	0	0	1	0	0	0
6	K. pneumoniae	urine	1401	1411	166	0	0	0	0	0	0	0	0	0
6	K. pneumoniae	stool	1401	1411	9	0	0	0	0	0	0	0	0	0
6	K. pneumoniae	blood	1401	1411	64	0	0	0	0	0	0	0	0	0
6	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
47	K. pneumoniae	respiratory	1401	1411	320	0	1	0	0	0	1	0	0	0
47	K. pneumoniae	urine	1401	1411	93	0	0	0	0	0	1	0	0	0
47	K. pneumoniae	stool	1401	1411	51	0	0	0	0	0	0	0	0	0
47	K. pneumoniae	blood	1401	1411	21	0	0	0	0	0	0	0	0	0
47	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
26	K. pneumoniae	respiratory	1401	1411	1203	0	1	6	0	1	3	0	0	0
26	K. pneumoniae	urine	1401	1411	720	0	0	0	0	0	0	0	0	0
26	K. pneumoniae	stool	1401	1411	46	0	0	1	0	0	0	0	0	0
26	K. pneumoniae	blood	1401	1411	169	0	0	0	0	0	0	0	0	0
26	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
9	K. pneumoniae	respiratory	1401	1411	927	1	0	10	0	1	10	0	0	0
9	K. pneumoniae	urine	1401	1411	332	1	0	16	0	1	2	0	0	0
9	K. pneumoniae	stool	1401	1411	66	0	0	0	0	0	0	0	0	0
9	K. pneumoniae	blood	1401	1411	127	0	2	2	0	0	2	0	0	0
9	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
38	K. pneumoniae	respiratory	1401	1411	1277	1	1	89	1	1	3	0	0	0
38	K. pneumoniae	urine	1401	1411	583	0	0	26	1	0	1	0	0	0
38	K. pneumoniae	stool	1401	1411	23	0	0	0	0	0	1	0	0	0
38	K. pneumoniae	blood	1401	1411	174	0	2	7	0	0	2	0	0	0
38	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
1	K. pneumoniae	respiratory	1401	1411	3980	0	4	2	13	2	110	0	0	0
1	K. pneumoniae	urine	1401	1411	1657	1	1	0	1	2	32	0	0	0
1	K. pneumoniae	stool	1401	1411	575	1	5	0	7	0	26	0	0	0
1	K. pneumoniae	blood	1401	1411	681	0	1	1	0	0	14	0	0	0
1	K. pneumoniae	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
23	K. pneumoniae	respiratory	1401	1411	821	0	0	0	4	0	4	0	0	0
23	K. pneumoniae	urine	1401	1411	370	0	0	0	3	0	6	0	0	0
23	K. pneumoniae	stool	1401	1411	193	0	0	0	5	0	3	0	0	0
23	K. pneumoniae	blood	1401	1411	147	0	0	0	4	0	1	0	0	0
23	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
36	K. pneumoniae	respiratory	1401	1411	527	0	0	28	0	0	3	0	0	0
